id,name,state,postcode,lat,lng,area,region
1,Aarons Pass,NSW,2850,-32.863277,149.803751,Dubbo & Orana,Regional NSW
2,Abba River,WA,6280,-33.684878,115.463341,Busselton-Dunsborough & Surrounds,Southern WA
3,Abbey,WA,6280,-33.660771,115.258627,Busselton-Dunsborough & Surrounds,Southern WA
4,Abbeyard,VIC,3737,-36.976415,146.782516,North Eastern,Northern VIC
5,Abbeywood,QLD,4613,-26.106878,151.6288,South,Central & West QLD
6,Abbotsbury,NSW,2176,-33.877538,150.867768,Western Sydney,Sydney
7,Abbotsford,NSW,2046,-33.852469,151.129453,Inner West,Sydney
8,Abbotsford,QLD,4670,-24.843687,152.024909,Bundaberg & Wide Bay,Coastal QLD
9,Abbotsford,VIC,3067,-37.8032938,144.9997403,Inner City,Melbourne
10,Abbotsham,TAS,7315,-41.211306,146.175577,Burnie Devonport & NW Tas,Tasmania
11,Abels Bay,TAS,7112,-43.23333,147.098032,Hobart & Southern,Tasmania
12,Abercorn,QLD,4627,-25.136637,151.129347,South,Central & West QLD
13,Abercrombie River,NSW,2795,-33.910547,149.347625,Central West,Regional NSW
14,Abercrombie,NSW,2795,-33.389964,149.550466,Central West,Regional NSW
15,Aberdare,NSW,2325,-32.8442,151.376514,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
16,Aberdeen,NSW,2336,-32.162396,150.890118,New England - North West,Regional NSW
17,Aberdeen,NSW,2359,-29.996058,151.080554,New England - North West,Regional NSW
18,Aberdeen,TAS,7310,-41.241121,146.324486,Burnie Devonport & NW Tas,Tasmania
19,Aberfeldie,VIC,3040,-37.75669,144.896259,North,Melbourne
20,Aberfeldy,VIC,3825,-37.696566,146.364064,Gippsland,South East VIC
21,Aberfoyle Park,SA,5159,-35.076282,138.593723,South & South East Suburbs,Adelaide
22,Aberfoyle,NSW,2350,-30.240605,152.012929,New England - North West,Regional NSW
23,Aberglasslyn,NSW,2320,-32.694656,151.534607,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
24,Abergowrie,QLD,4850,-18.474994,145.885791,Mount Isa & North West,Central & West QLD
25,Abermain,NSW,2326,-32.810815,151.428668,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
26,Abernethy,NSW,2325,-32.883242,151.396677,Hunter Valley - Lower,"Hunter, Central & Northern NSW"
27,Abingdon Downs,QLD,4871,-17.608738,143.185168,Far North Queensland,Coastal QLD
28,Abington,NSW,2350,-30.294214,151.250268,New England - North West,Regional NSW
29,Abington,QLD,4660,-25.203235,152.328931,Bundaberg & Wide Bay,Coastal QLD
30,Acacia Gardens,NSW,2763,-33.733846,150.913771,Western Sydney,Sydney
31,Acacia Hills,TAS,7306,-41.280491,146.324953,Burnie Devonport & NW Tas,Tasmania
32,Acacia Ridge,QLD,4110,-27.589633,153.02787,Southside,Brisbane
33,Acheron,VIC,3714,-37.252433,145.702015,Shepparton & Central North,Northern VIC
34,Acland,QLD,4401,-27.303702,151.691102,Toowoomba & District,South East QLD
35,Acton Park,TAS,7170,-42.865743,147.469888,Hobart & Southern,Tasmania
36,Acton Park,WA,6280,-33.77704,115.374369,Busselton-Dunsborough & Surrounds,Southern WA
37,Acton,ACT,2601,-35.282087,149.108716,Inner North,Canberra
38,Acton,TAS,7320,-41.070069,145.893987,Burnie Devonport & NW Tas,Tasmania
39,Ada,VIC,3833,-37.84087,145.849688,Gippsland,South East VIC
40,Adaminaby,NSW,2629,-35.997349,148.769744,Capital Monaro & Snowy,Regional NSW
41,Adams Estate,VIC,3984,-38.424676,145.532485,Phillip Island & District,Melbourne
